endpoint_url,scraped_at
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/400748,2026-03-08 19:58:38.189246
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/399585,2026-03-08 19:58:36.472598
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/397667,2026-03-08 19:58:34.468068
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/399990,2026-03-08 19:58:32.078375
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/400325,2026-03-08 19:58:31.834361
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/399988,2026-03-08 19:58:31.515919
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/399985,2026-03-08 19:58:30.346479
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/399984,2026-03-08 19:58:29.385984
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/401920,2026-03-08 19:58:27.221461
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/401741,2026-03-08 19:58:26.672878
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/401744,2026-03-08 19:58:17.93198
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/401880,2026-03-08 19:58:10.515401
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/401900,2026-03-08 19:58:07.063954
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/402446,2026-03-08 19:58:03.885185
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/402450,2026-03-08 19:58:03.575201
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/402982,2026-03-08 19:58:03.268142
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/402449,2026-03-08 19:58:02.335975
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/403213,2026-03-08 19:58:02.062809
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/403215,2026-03-08 19:57:27.803957
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/403621,2026-03-08 19:57:27.415
https://www.tabletennis365.com/Brentwood/Results/Winter_2011-12/First_Division/MatchCard/15495,2026-03-08 19:57:27.18813
https://www.tabletennis365.com/Brentwood/Results/Winter_2014-15/Premier_Division/MatchCard/93948,2026-03-08 19:57:26.84969
https://www.tabletennis365.com/Brentwood/Results/Winter_2015-16/First_Division/MatchCard/145126,2026-03-08 19:57:26.199639
https://www.tabletennis365.com/Basildon/Results/Winter_2023-24/Premier_Division/MatchCard/410751,2026-03-08 19:57:25.446201
https://www.tabletennis365.com/Basildon/Results/Winter_2023-24/Premier_Division/MatchCard/414983,2026-03-08 19:56:54.340912
https://www.tabletennis365.com/Basildon/Results/Winter_2023-24/Division_1/MatchCard/411488,2026-03-08 19:56:53.467435
https://www.tabletennis365.com/Basildon/Results/Winter_2019/Premier_Division/MatchCard/353098,2026-03-08 19:56:49.376945
https://www.tabletennis365.com/Basildon/Results/Winter_2018/Division_Three/MatchCard/306572,2026-03-08 19:56:48.801175
https://www.tabletennis365.com/Southend/Results/Winter_League_24-25/Division_2/MatchCard/427549,2026-03-08 19:56:48.450517
https://www.tabletennis365.com/Southend/Results/Winter_League_23-24/Division_1/MatchCard/418819,2026-03-08 19:56:48.219297
https://www.tabletennis365.com/Southend/Results/Winter_League_23-24/Division_1/MatchCard/418821,2026-03-08 19:56:47.859225
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Premier_Division/MatchCard/402436,2026-03-08 19:56:47.553366
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/388590,2026-03-08 19:56:47.267403
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/388588,2026-03-08 19:56:46.740732
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/388385,2026-03-08 19:56:43.435781
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/388795,2026-03-08 19:56:42.877306
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/388927,2026-03-08 19:56:42.622785
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/388929,2026-03-08 19:56:41.89578
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/389229,2026-03-08 19:56:41.60514
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/393397,2026-03-08 19:56:39.485901
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/390116,2026-03-08 19:56:38.548479
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/390369,2026-03-08 19:56:38.269573
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/395140,2026-03-08 19:56:37.593768
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/390368,2026-03-08 19:56:37.323208
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/391631,2026-03-08 19:56:36.39551
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/390846,2026-03-08 19:56:35.383871
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/391793,2026-03-08 19:56:34.357444
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/391792,2026-03-08 19:56:33.426992
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/392142,2026-03-08 19:56:32.540507
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/392243,2026-03-08 19:56:30.938736
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/393090,2026-03-08 19:56:30.65645
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/393242,2026-03-08 19:56:30.056092
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/393379,2026-03-08 19:56:29.767402
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/393443,2026-03-08 19:56:29.424785
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/393582,2026-03-08 19:56:28.011509
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/393749,2026-03-08 19:56:26.628598
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/393679,2026-03-08 19:56:26.279549
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/394355,2026-03-08 19:56:25.230756
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/394619,2026-03-08 19:56:24.919007
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/395248,2026-03-08 19:56:23.417755
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/395392,2026-03-08 19:56:21.212447
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/396230,2026-03-08 19:56:19.941987
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/396049,2026-03-08 19:56:18.599473
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/396168,2026-03-08 19:56:17.712427
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/396200,2026-03-08 19:56:17.043063
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/396463,2026-03-08 19:56:14.047898
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/398255,2026-03-08 19:56:13.46111
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/396831,2026-03-08 19:56:13.155594
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/396515,2026-03-08 19:56:12.870968
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/396513,2026-03-08 19:56:12.543998
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/396981,2026-03-08 19:56:12.259626
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/396980,2026-03-08 19:56:07.846978
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/398880,2026-03-08 19:56:07.559227
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/398009,2026-03-08 19:56:07.236529
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/398286,2026-03-08 19:56:06.329255
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/398206,2026-03-08 19:56:06.064885
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/398392,2026-03-08 19:56:03.711397
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/398535,2026-03-08 19:56:02.720618
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/399322,2026-03-08 19:56:02.46303
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/400743,2026-03-08 19:56:02.104125
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/399595,2026-03-08 19:56:00.474556
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/400230,2026-03-08 19:55:58.747723
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/399969,2026-03-08 19:55:53.653181
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/400121,2026-03-08 19:55:52.251937
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/401714,2026-03-08 19:55:51.971924
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/401726,2026-03-08 19:55:51.173606
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/402202,2026-03-08 19:55:47.351902
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/402088,2026-03-08 19:55:44.413073
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/388571,2026-03-08 19:55:37.17279
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/402091,2026-03-08 19:55:33.328232
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/402558,2026-03-08 19:55:32.740278
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/402561,2026-03-08 19:55:32.384007
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/403405,2026-03-08 19:55:32.051954
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/402698,2026-03-08 19:55:27.092961
https://www.tabletennis365.com/Southend/Results/Summer_2025/Division_1/MatchCard/446923,2026-03-08 19:55:12.951965
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/403134,2026-03-08 19:55:03.700589
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/403091,2026-03-08 19:55:03.360278
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/403092,2026-03-08 19:55:03.090759
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_3/MatchCard/403234,2026-03-08 19:55:02.823404
https://www.tabletennis365.com/Southend/Results/Summer_2025/Division_1/MatchCard/447507,2026-03-08 19:54:59.222546
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/390666,2026-03-08 12:00:14.210038
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/390664,2026-03-08 12:00:14.163635
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/389832,2026-03-08 12:00:13.817038
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/390106,2026-03-08 12:00:13.737742
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/403394,2026-03-08 12:00:13.571198
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/389835,2026-03-08 12:00:13.299793
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/389829,2026-03-08 12:00:13.122364
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/389364,2026-03-08 12:00:12.906378
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/389243,2026-03-08 12:00:12.658067
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/389245,2026-03-08 12:00:12.567606
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/389244,2026-03-08 12:00:12.223935
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/403620,2026-03-08 12:00:12.081834
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/388698,2026-03-08 12:00:11.791611
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/388696,2026-03-08 12:00:11.599244
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/388697,2026-03-08 12:00:11.37356
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/388738,2026-03-08 12:00:10.922721
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/388694,2026-03-08 12:00:10.895476
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/388330,2026-03-08 12:00:10.553048
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/388328,2026-03-08 12:00:10.529307
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/388326,2026-03-08 12:00:10.232711
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_1/MatchCard/388329,2026-03-08 12:00:10.179806
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_2/MatchCard/403498,2026-03-08 12:00:09.218227
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_2/MatchCard/402794,2026-03-08 12:00:08.925248
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_2/MatchCard/402678,2026-03-08 12:00:08.866309
https://www.tabletennis365.com/Southend/Results/Winter_League_22-23/Division_2/MatchCard/402680,2026-03-08 12:00:08.756772
